id,name
__export__.vehicle_brand_1_06def81a,Toyota
,Mercedes-Benz
,BMW
,Audi
,Volkswagen
,Ford
,Honda
,Nissan
,Hyundai
,Kia
,Peugeot
,Renault
,Skoda
,Mazda
,Volvo
,Porsche
,Chevrolet
,Land Rover
,Jeep
,Subaru
,Mitsubishi
,Tesla
,Suzuki
,Fiat
,Citroen
,Opel
,Mini
,Jaguar
,Lexus
,Infiniti
,Acura
,Dodge
,Chrysler
,Alfa Romeo
,Seat
,Cupra
,Genesis
,Bentley
,Ferrari
,Lamborghini
,Rolls-Royce
,Maserati
,Bugatti
,Aston Martin
,McLaren
